Run,Event,pt1,eta1,phi1,pt2,eta2,phi2,M
199319,641436592,77.2006,0.250438,0.605505,60.1382,0.650821,-1.539,122.797901339
199699,336259924,64.1091,0.473667,-0.815133,58.6038,0.0320185,2.58568,124.586979007
201602,114902683,73.7489,0.800788,0.26102,55.9369,0.698872,3.03502,126.462830238
202087,923352992,102.955,0.979959,0.148624,76.694,0.815527,1.67359,123.62254226
203894,688901524,53.4409,-0.709665,1.6423,46.4314,0.945537,-2.7167,123.203886955
203987,308416294,87.7908,-0.149925,2.36875,46.1165,0.0769467,-0.292238,124.444405016
203987,845945372,67.7696,-0.642111,-3.02522,61.0116,-0.602803,-0.374396,124.77691549
204577,127412443,122.629,-0.0537272,-1.79813,45.6784,-0.294025,2.52286,125.704970867
205667,719816916,48.7351,0.0715947,-2.27934,73.5228,-1.07557,1.94246,125.691479329
207924,315722300,118.366,-0.85756,-0.505692,66.8998,-0.52723,-1.98081,123.273270612
